Is_Tutor,Country ID,1stTeachingLanguage,1stTeachingLevel,2ndTeachingLanguage,2ndTeachingLevel,3rdTeachingLanguage,3rdTeachingLevel,4thTeachingLanguage,4thTeachingLevel,5thTeachingLanguage,5thTeachingLevel,6thTeachingLanguage,6thTeachingLevel,7thTeachingLanguage,7thTeachingLevel,8thTeachingLangauge,8thTeachingLevel,1stAlsoSpeaks,1stAlsoLevel,2ndAlsoSpeaks,2ndAlsoLevel,3rdAlsoSpeaks,3rdAlsoLevel,4thAlsoSpeaks,4thAlsoLevel,5thAlsoSpeaks,5thAlsoLevel,6thAlsoSpeaks,6thAlsoLevel,7thAlsoSpeaks,7thAlsoLevel,8thAlsoSpeaks,8thAlsoLevel,9thAlsoSpeaks,9thAlsoLevel,Signed_Up,Total_Sessions,Has_Trial,Trial_Price,Min_Price,Exam_Score,Level
1,RU,esperanto,6,russian,7,,,,,,,,,,,,,bulgarian,5,english,5,french,3,italian,1,polish,2,turkish,2,vietnamese,2,,,,,2016-05-18T09:00:20+00:00,239,1,450,900,,
1,EG,arabic,7,arabic(egyptian),7,arabic(modernstandard),7,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2009-05-04T02:30:02+00:00,657,1,300,1800,,
1,EG,german,6,,,,,,,,,,,,,,,arabic,7,arabic(modernstandard),7,english,6,,,,,,,,,,,,,2009-04-13T15:33:00+00:00,435,1,500,1000,,
1,JP,japanese,7,,,,,,,,,,,,,,,english,4,spanish,2,,,,,,,,,,,,,,,2009-11-24T08:28:13+00:00,1028,1,650,2480,,
1,EG,arabic,7,arabic(egyptian),7,arabic(levantine),7,arabic(modernstandard),7,,,,,,,,,english,4,french,4,,,,,,,,,,,,,,,2014-12-12T02:48:18+00:00,2563,1,600,1200,,
1,ES,spanish,7,,,,,,,,,,,,,,,english,5,french,2,,,,,,,,,,,,,,,2014-11-02T21:17:14+00:00,1430,1,700,1050,,
1,GB,english,7,,,,,,,,,,,,,,,arabic,1,french,4,other,1,spanish,4,,,,,,,,,,,2012-06-14T01:16:20+00:00,158,1,600,1500,,
1,JP,japanese,7,,,,,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2009-05-09T00:00:00+00:00,17251,1,1000,1500,,
1,US,english,7,,,,,,,,,,,,,,,german,2,other,1,,,,,,,,,,,,,,,2009-04-22T03:09:29+00:00,1062,0,1500,3000,,
1,RU,english,6,german,6,russian,7,,,,,,,,,,,chinese,1,spanish,1,,,,,,,,,,,,,,,2009-06-10T02:18:02+00:00,4650,1,400,500,,
