User_ID,Is_Tutor,Country ID,1stTeaching Language,1stTeachingLevel,2ndTeachingLanguage,2ndTeachingLevel,3rdTeachingLanguage,3rdTeachingLevel,4thTeachingLanguage,4thTeachingLevel,5thTeachingLanguage,5thTeachingLevel,6thTeachingLanguage,6thTeachingLevel,7thTeachingLanguage,7thTeachingLevel,8thTeachingLangauge,8thTeachingLevel,1stAlsoSpeaks,1stAlsoLevel,2ndAlsoSpeaks,2ndAlsoLevel,3rdAlsoSpeaks,3rdAlsoLevel,4thAlsoSpeaks,4thAlsoLevel,5thAlsoSpeaks,5thAlsoLevel,6thAlsoSpeaks,6thAlsoLevel,7thAlsoSpeaks,7thAlsoLevel,8thAlsoSpeaks,8thAlsoLevel,9thAlsoSpeaks,9thAlsoLevel,Signed_Up,Total_Sessions,Has_Trial,Trial_Price,Min_Price,Exam_Score,Level
123430,1,RU,esperanto,6,russian,7,,,,,,,,,,,,,bulgarian,5,english,5,french,3,italian,1,polish,2,turkish,2,vietnamese,2,,,,,2016-05-18T09:00:20+00:00,239,1,450,900,,
150068,1,EG,arabic,7,arabic(egyptian),7,arabic(modernstandard),7,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2009-05-04T02:30:02+00:00,657,1,300,1800,,
275683,1,EG,german,6,,,,,,,,,,,,,,,arabic,7,arabic(modernstandard),7,english,6,,,,,,,,,,,,,2009-04-13T15:33:00+00:00,435,1,500,1000,,
291538,1,JP,japanese,7,,,,,,,,,,,,,,,english,4,spanish,2,,,,,,,,,,,,,,,2009-11-24T08:28:13+00:00,1028,1,650,2480,,
305689,1,EG,arabic,7,arabic(egyptian),7,arabic(levantine),7,arabic(modernstandard),7,,,,,,,,,english,4,french,4,,,,,,,,,,,,,,,2014-12-12T02:48:18+00:00,2563,1,600,1200,,
368484,1,ES,spanish,7,,,,,,,,,,,,,,,english,5,french,2,,,,,,,,,,,,,,,2014-11-02T21:17:14+00:00,1430,1,700,1050,,
463477,1,GB,english,7,,,,,,,,,,,,,,,arabic,1,french,4,other,1,spanish,4,,,,,,,,,,,2012-06-14T01:16:20+00:00,158,1,600,1500,,
477566,1,JP,japanese,7,,,,,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2009-05-09T00:00:00+00:00,17251,1,1000,1500,,
483024,1,US,english,7,,,,,,,,,,,,,,,german,2,other,1,,,,,,,,,,,,,,,2009-04-22T03:09:29+00:00,1062,0,1500,3000,,
495195,1,RU,english,6,german,6,russian,7,,,,,,,,,,,chinese,1,spanish,1,,,,,,,,,,,,,,,2009-06-10T02:18:02+00:00,4650,1,400,500,,
512078,0,JP,japanese,7,,,,,,,,,,,,,,,english,4,,,,,,,,,,,,,,,,,2020-03-21T02:13:15+00:00,159,1,100,1600,,
538395,0,JP,japanese,7,,,,,,,,,,,,,,,english,4,,,,,,,,,,,,,,,,,2009-10-15T02:28:24+00:00,3911,1,700,1500,,
563906,1,CN,chinese,7,,,,,,,,,,,,,,,english,5,japanese,2,,,,,,,,,,,,,,,2020-01-22T09:14:32+00:00,66,1,400,800,,
569272,1,RU,english,6,russian,7,,,,,,,,,,,,,chinese,1,,,,,,,,,,,,,,,,,2016-12-16T06:23:27+00:00,1397,1,300,620,,
591602,0,JP,japanese,7,,,,,,,,,,,,,,,chinese,2,english,3,korean,2,portuguese,2,russian,2,spanish,2,vietnamese,2,,,,,2011-05-31T07:03:55+00:00,10374,1,1300,1800,,
598613,0,IT,italian,7,,,,,,,,,,,,,,,chinese,5,chinese(cantonese),3,english,5,japanese,5,korean,5,romanian,1,russian,4,turkish,3,,,2010-08-07T02:56:00+00:00,1371,1,1500,1700,,
600465,1,TR,turkish,7,,,,,,,,,,,,,,,english,6,spanish,1,,,,,,,,,,,,,,,2011-03-28T08:00:21+00:00,6080,1,1000,2000,,
644741,0,DE,bulgarian,7,english,6,german,6,russian,7,,,,,,,,,austriangerman,7,french,5,,,,,,,,,,,,,,,2017-02-07T09:20:00+00:00,3435,1,600,1600,,
650541,0,US,english,7,,,,,,,,,,,,,,,greek,1,,,,,,,,,,,,,,,,,2010-10-20T04:53:44+00:00,5631,1,1500,3000,,
663702,1,FR,french,7,,,,,,,,,,,,,,,english,5,russian,7,,,,,,,,,,,,,,,2010-11-23T06:24:28+00:00,1884,1,800,2100,,
669086,1,US,english,7,,,,,,,,,,,,,,,spanish,4,,,,,,,,,,,,,,,,,2010-12-30T05:57:15+00:00,4499,1,350,1300,,
706352,1,CN,chinese,7,,,,,,,,,,,,,,,chinese(other),7,english,3,french,1,german,1,italian,1,,,,,,,,,2020-01-14T09:28:02+00:00,138,1,400,900,,
719539,1,ID,chinese,6,chinese(hokkien),7,english,6,esperanto,6,indonesian,7,,,,,,,dutch,2,french,4,portuguese,5,spanish,5,,,,,,,,,,,2014-02-17T05:36:57+00:00,170,1,1000,2000,,
729077,1,PL,english,6,polish,7,,,,,,,,,,,,,german,3,russian,1,spanish,3,,,,,,,,,,,,,2012-03-16T05:35:31+00:00,2134,1,800,1599,,
740680,1,FR,french,7,spanish,7,,,,,,,,,,,,,azeri,1,english,5,finnish,1,italian,4,russian,3,turkish,4,,,,,,,2011-06-14T08:00:06+00:00,4063,1,600,1500,,
754436,0,GB,english,7,,,,,,,,,,,,,,,french,2,german,3,,,,,,,,,,,,,,,2011-08-23T20:06:15+00:00,2853,1,800,2300,,
811320,0,ES,spanish,7,,,,,,,,,,,,,,,english,6,italian,1,norwegian,1,,,,,,,,,,,,,2011-11-07T03:06:09+00:00,6030,1,650,1900,,
818092,1,CA,french,7,,,,,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2011-11-10T06:07:07+00:00,4059,1,800,1600,,
829021,1,IT,english,6,french,6,german,6,italian,7,russian,6,spanish,6,,,,,catalan,5,dutch,4,portuguese,4,,,,,,,,,,,,,2011-11-25T05:55:12+00:00,1239,1,2000,3500,,
830419,0,GB,english,7,,,,,,,,,,,,,,,korean,3,spanish,3,welsh,2,,,,,,,,,,,,,2020-04-30T11:39:18+00:00,58,1,200,1600,,
837815,1,CA,english,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-06T05:59:37+00:00,3162,0,1000,800,,
846429,1,RU,chinese,6,english,6,russian,7,,,,,,,,,,,arabic,1,spanish,2,,,,,,,,,,,,,,,2019-03-13T09:34:05+00:00,1070,1,600,1400,,
847273,0,US,english,7,,,,,,,,,,,,,,,chinese,3,spanish,4,thai,3,,,,,,,,,,,,,2012-01-05T07:54:38+00:00,587,1,500,1500,,
850398,1,US,english,7,,,,,,,,,,,,,,,korean,1,spanish,1,,,,,,,,,,,,,,,2012-01-27T01:58:09+00:00,2524,1,600,1200,,
872290,1,RU,russian,7,,,,,,,,,,,,,,,chinese,2,english,6,,,,,,,,,,,,,,,2016-08-16T08:35:20+00:00,3361,1,300,700,,
